Name,Country,Industry,mvUsd
Alpha Dhabi Holding PJSC,United Arab Emirates,Industrials,7373422
Alpha Metallurgical Resources Inc,United States,Energy,4781244
Alpha Networks Inc,Taiwan,Telecommunications,3316978
Alpha Services and Holdings SA,Greece,Financials,30174810
Alpha Systems Inc,Japan,Technology,1783805
AlphaPolis Co Ltd,Japan,Technology,4282410
Alphabet Inc,United States,Technology,11188635405
Alphamab Oncology,China,Health Care,8103165
Alphatec Holdings Inc,United States,Health Care,3823560
Alphawave IP Group PLC,United Kingdom,Technology,6531272
Alps Alpine Co Ltd,Japan,Technology,30445115
Alrosa PJSC,Russia,Basic Materials,2344341
Alsea SAB de CV,Mexico,Consumer Discretionary,58214861
Alstom SA,France,Industrials,68272012
AltaGas Ltd,Canada,Utilities,53352851
Altaba Inc,United States,Financials,12789233
Altair Engineering Inc,United States,Technology,10086565
Altarea SCA,France,Real Estate,8053067
Altek Corp,Taiwan,Consumer Discretionary,3335254
Alten SA,France,Technology,89120827
Alteogen Inc,South Korea,Health Care,12704927
Alteryx Inc,United States,Technology,5378114
Altice USA Inc,United States,Telecommunications,14604968
Altium Ltd,Australia,Technology,29050788
Altra Industrial Motion Corp,United States,Industrials,37177287
Altri SGPS SA,Portugal,Basic Materials,5472706
Altus SA,Poland,Financials,28004
Alumetal SA,Poland,Basic Materials,3241217
Alumina Ltd,Australia,Basic Materials,39328338
Aluminium Bahrain BSC,Bahrain,Basic Materials,100175107
Alupar Investimento SA,Brazil,Utilities,25532966
AmRest Holdings SE,Poland,Consumer Discretionary,9
AmTRAN Technology Co Ltd,Taiwan,Consumer Discretionary,3342640
Amada Co Ltd,Japan,Industrials,51295665
Amadeus Fire AG,Germany,Industrials,9697204
Amadeus IT Group SA,Spain,Technology,609184197
Amano Corp,Japan,Industrials,20574852
Amara Raja Batteries Ltd,India,Industrials,7891173
Amata Corp PCL,Thailand,Real Estate,4419844
Amazing Microelectronic Corp,Taiwan,Technology,1668357
Amazon.com Inc,United States,Consumer Discretionary,8141966448
Ambac Financial Group Inc,United States,Financials,5640096
Ambarella Inc,United States,Technology,28046844
Ambassador Hotel/The,Taiwan,Consumer Discretionary,3707016
Amber Enterprises India Ltd,India,Consumer Discretionary,3604946
Ambev SA,Brazil,Consumer Staples,55968479
Ambipar Participacoes e Empreendimentos S/A,Brazil,Utilities,3925198
Ambra SA,Poland,Consumer Staples,2423067
Ambu A/S,Denmark,Health Care,55944780
Amcor PLC,Australia,Industrials,273592773
Amdocs Ltd,United States,Technology,110253974
Amedisys Inc,United States,Health Care,26014189
Ameresco Inc,United States,Energy,6032727
America Movil SAB de CV,Mexico,Telecommunications,169648367
American Airlines Group Inc,United States,Consumer Discretionary,21558492
American Assets Trust Inc,United States,Real Estate,19847546
American Axle & Manufacturing Holdings Inc,United States,Consumer Discretionary,7125263
American Eagle Outfitters Inc,United States,Consumer Discretionary,16136713
American Equity Investment Life Holding Co,United States,Financials,35056871
American Express Co,United States,Industrials,890286980
American Financial Group Inc/OH,United States,Financials,94624633
American Homes 4 Rent,United States,Real Estate,619235493
American International Group Inc,United States,Financials,724820264
American Public Education Inc,United States,Consumer Discretionary,2304375
American Software Inc/GA,United States,Technology,315503
American States Water Co,United States,Utilities,30950941
American Tower Corp,United States,Real Estate,985200694
American Water Works Co Inc,United States,Utilities,275068259
American Well Corp,United States,Health Care,3902230
American Woodmark Corp,United States,Industrials,6443950
Americana Restaurants International PLC,United Arab Emirates,Consumer Discretionary,40490752
Americanas SA,Brazil,Consumer Discretionary,1250323
Americold Realty Trust Inc,United States,Real Estate,441452211
Ameriprise Financial Inc,United States,Financials,381449112
Ameris Bancorp,United States,Financials,31774104
AmerisourceBergen Corp,United States,Consumer Staples,255107397
Amgen Inc,United States,Health Care,1318131591
